Total_outages,Day_length_hr,Avg_Temp_F,Avg_humidity_percent,Max_windspeed_mph,Avg_windspeed_mph,Max_windgust_mph,Precipitation_in
2,10.016667,49,91,20,15,9,0.44
0,9.95,50,92,12,9,9,0.07
1,9.9,50,89,14,6,9,0.1
2,9.85,48,94,8,3,9,0.01
1,9.8,48,95,14,7,9,0.41
0,9.75,42,92,14,5,9,0
2,9.7,42,88,8,2,9,0
1,9.666667,46,69,9,4,9,0
1,9.616667,44,78,8,2,9,0
0,9.566667,46,76,6,2,9,0
0,9.516667,48,83,7,1,9,0
0,9.466667,50,84,10,5,9,0.05
0,9.433333,51,96,17,7,9,0.41
1,9.383333,52,95,10,7,9,1.19
3,9.333333,56,94,18,6,28,2.39
1,9.3,54,84,17,11,9,0.23
0,9.25,48,90,10,6,9,0.1
0,9.2,44,85,14,6,24,0
0,9.166667,47,76,18,7,29,0
2,9.116667,50,80,20,12,37,0.71
2,9.083333,51,84,28,15,29,0.4
0,9.05,48,83,20,12,20,0.15
0,9,45,94,15,8,21,1.15
0,8.966667,45,81,16,10,9,0
0,8.933333,42,75,15,9,9,0
0,8.9,40,92,10,4,9,0.05
0,8.866667,42,87,14,10,9,0
0,8.833333,41,86,12,7,24,0
0,8.8,38,89,18,11,28,0.82
0,8.766667,42,85,20,12,22,0.25
0,8.733333,42,87,17,11,41,0.45
8,8.716667,46,81,31,18,24,0.39
1,8.683333,41,88,20,11,25,0.22
0,8.65,40,89,18,7,30,0.19
0,8.633333,38,91,25,13,17,0.18
0,8.616667,38,91,15,10,28,0.19
1,8.583333,42,88,21,13,9,0.19
0,8.566667,44,81,13,6,28,0
0,8.55,42,91,22,6,9,0.04
2,8.533333,38,90,14,8,9,0.08
0,8.516667,38,97,12,6,21,0.19
0,8.5,40,96,12,5,29,0.03
2,8.483333,42,93,22,9,40,0.29
5,8.466667,46,95,29,16,34,1.63
1,8.45,40,73,25,13,31,0
0,8.45,42,93,25,10,34,0.51
2,8.433333,48,91,26,18,32,1.22
1,8.433333,40,68,23,15,29,0
0,8.433333,41,73,22,11,18,0.09
0,8.416667,38,90,16,10,26,0
0,8.416667,38,94,18,11,9,0.04
0,8.416667,40,95,7,3,23,0
1,8.416667,40,66,17,8,9,0
0,8.433333,41,66,14,4,23,0
0,8.433333,43,54,18,9,9,0
1,8.433333,39,66,12,7,9,0
0,8.433333,40,57,16,7,25,0
2,8.45,46,54,17,11,9,0.1
0,8.466667,46,89,9,5,9,0.04
0,8.466667,42,85,9,4,9,0
1,8.483333,39,91,14,2,9,0
0,8.5,44,90,13,4,26,0.16
1,8.516667,46,65,21,11,25,0.61
1,8.533333,46,78,17,10,9,0.03
0,8.55,44,88,12,7,9,0.03
0,8.566667,44,81,12,3,9,0
0,8.583333,46,80,15,7,24,0.17
0,8.616667,49,93,17,9,26,0.9
1,8.633333,56,96,17,12,25,1.13
1,8.666667,49,94,16,11,9,0.15
0,8.683333,44,94,7,3,9,0
0,8.716667,42,95,10,4,9,0
0,8.75,46,96,10,5,30,0.04
1,8.766667,44,83,21,13,9,0.25
1,8.8,38,91,8,5,9,0
0,8.833333,38,91,14,7,9,0
1,8.866667,37,83,7,3,9,0
0,8.9,34,92,14,6,9,0
0,8.933333,37,88,8,5,21,0
1,8.983333,38,94,16,7,25,0.18
2,9.016667,40,93,18,11,31,0.1
1,9.05,42,90,22,16,25,0.24
0,9.1,37,91,20,14,24,0
1,9.133333,38,88,16,13,32,0
1,9.166667,40,92,26,12,30,0.05
0,9.216667,43,95,21,15,25,1.21
0,9.25,38,97,18,13,26,0.73
0,9.3,34,89,17,12,9,0.07
0,9.35,32,95,10,7,9,0.13
0,9.383333,31,92,15,7,9,0
0,9.433333,31,93,9,5,23,0.07
0,9.483333,38,92,18,11,21,0.03
0,9.533333,39,98,13,8,9,0.25
0,9.583333,41,93,14,8,9,0.01
0,9.633333,42,73,15,7,23,0.01
2,9.666667,42,85,17,11,9,0.03
1,9.716667,40,80,10,5,18,0
0,9.766667,40,93,16,7,30,0.16
0,9.816667,44,88,20,12,16,0.37
0,9.866667,40,92,14,10,25,0.67
0,9.933333,42,90,17,12,9,0
0,9.983333,45,67,14,5,30,0
2,10.033333,42,81,23,8,20,0.01
1,10.083333,39,79,15,8,9,0
1,10.133333,37,82,16,10,9,0
1,10.183333,36,90,8,4,9,0
0,10.233333,41,85,12,7,9,0
0,10.3,44,73,13,9,9,0
1,10.35,44,85,10,5,9,0.07
0,10.4,42,99,12,4,9,0.05
0,10.466667,46,90,13,7,30,0.1
0,10.516667,42,88,21,13,9,0.33
1,10.566667,42,78,8,5,28,0.04
0,10.616667,48,92,20,12,9,0.93
0,10.683333,48,100,12,7,9,0.71
1,10.733333,39,95,13,9,18,0.5
0,10.783333,38,65,16,8,9,0.01
1,10.85,38,55,15,10,9,0
0,10.9,40,50,13,9,9,0
3,10.966667,37,78,12,4,16,0.02
0,11.016667,41,80,14,7,9,0.02
0,11.066667,39,69,14,6,9,0
0,11.133333,40,74,12,6,9,0
0,11.183333,43,70,8,5,28,0
0,11.25,45,68,17,10,20,0
0,11.3,40,81,17,11,30,0
0,11.35,34,57,21,13,20,0
1,11.416667,32,79,17,10,24,0
0,11.466667,34,81,20,11,30,0
0,11.533333,43,61,21,11,28,0.05
0,11.583333,45,87,18,12,31,0.11
1,11.65,47,93,23,15,30,1.01
0,11.7,42,92,21,15,22,0.44
0,11.766667,40,91,17,13,23,0.03
0,11.816667,42,82,17,8,24,0
0,11.883333,38,88,18,11,23,0.13
1,11.933333,34,91,18,11,23,0.34
1,11.983333,34,55,18,11,28,0
0,12.05,36,92,22,11,26,0.13
0,12.1,39,96,21,15,25,0.37
1,12.166667,33,97,21,13,18,0.17
1,12.216667,43,66,14,10,9,0
1,12.283333,44,76,10,5,9,0
0,12.333333,49,73,9,5,9,0.02
0,12.4,48,91,10,4,9,0.01
0,12.45,48,75,9,6,25,0
1,12.516667,44,87,20,11,29,0
1,12.566667,40,85,20,11,22,0
0,12.633333,46,82,16,12,9,0
1,12.683333,48,81,14,10,9,0
0,12.733333,47,81,10,7,9,0
2,12.8,50,75,14,9,21,0
0,12.85,46,73,14,10,9,0.01
0,12.916667,46,65,15,9,9,0
0,12.966667,48,60,12,7,9,0
2,13.033333,52,63,14,6,9,0
1,13.083333,50,88,14,9,30,0
0,13.133333,50,82,20,12,29,0
1,13.2,46,78,20,11,9,0.02
0,13.25,48,69,10,4,25,0
0,13.3,52,91,16,5,9,0.79
0,13.366667,50,94,13,6,20,0.49
0,13.416667,52,95,14,8,9,0.18
0,13.483333,52,94,14,9,33,0.18
2,13.533333,52,99,24,10,44,1.47
12,13.583333,46,85,23,19,28,0.19
1,13.65,44,82,20,13,20,0.02
0,13.7,42,87,17,10,9,0.19
1,13.75,46,80,13,6,9,0
0,13.8,48,79,8,2,9,0
0,13.866667,47,88,7,4,9,0
2,13.916667,48,76,8,4,9,0
0,13.966667,46,89,12,7,34,0.05
0,14.016667,48,79,26,11,9,0.01
0,14.083333,44,59,13,6,9,0
1,14.133333,48,60,15,7,9,0
2,14.183333,50,59,10,8,9,0
0,14.233333,44,88,9,6,9,0.29
